state,city,name,reference
MA,Arame,CT Arame,
SP,Aramina,CT Aramina ,
SP,Arandu,CT Arandu,
MG,Arantina,CT Arantina,
SP,Arapeí,CT Arapeí,
AL,Arapiraca,CT Arapiraca Região I,"Alasão;
Alto dos Galdinos;
Assentamento Ceci Cunha;
Baixa da Hora;
Baixa da Onça;
Baixa Grande;
Baixão;
Baraúnas;
Batingas;
Boa Vista;
Bom Nome 1;
Bom Nome 2;
Brasiliana;
Breu;
Brisa do Lago;
Cacimbas;
Campestre;
Capim;
Cavaco;
Eldorado;
Esporão;
Fazenda Bela Vista;
Fernandes;
Guaribas;
Itapucuru;
Jardim Esperança;
João Paulo II;
Lagoa Cavada;
Lagoa de Dentro;
Manoel Teles;
Mata Da Umbelina;
Mulungu (Mundo Novo);
Olho D’água Do Brejão;
Olho D’água Dos Cazuzinhas;
Pau Ferro;
Pe. Antônio Lima Neto;
Primavera;
Santa Mônica;
Santa Terezinha;
São Luis II;
Sen. Nilo Coelho;
Serrote Do João Dias;
Umbuzeiro;
Vale Da Perucaba;
Verdes Campos;
Vila São Francisco;
Zélia Barbosa Rocha;
Jardim Das Paineiras."
AL,Arapiraca,CT Arapiraca Região II,Alto do Cruzeiro
TO,Arapoema,CT Arapoema,
MG,Araponga,CT Araponga,
PR,Arapongas,CT Arapongas,
MG,Araporã,CT Araporã,
PR,Arapoti,CT Arapoti,
MG,Arapuá,CT Arapuá,
PR,Arapuã,CT Arapuã,
MT,Araputanga,CT Araputanga ,
SC,Araquari,CT Araquari ,
PB,Arara,CT Arara,
SC,Araranguá,CT Araranguá,
SP,Araraquara,CT Araraquara I,CT I - São Geraldo
SP,Araraquara,CT Araraquara II,CT II - Vila Xavier
SP,Araras,CT Araras,
CE,Ararendá,CT Ararendá,
MA,Arari,CT Arari,
RS,Araricá,CT Araricá,
CE,Araripe,CT Araripe,
PE,Araripina,CT Araripina,
RJ,Araruama,CT Araruama,
PB,Araruna,CT Araruna,
PR,Araruna,CT Araruna ,
BA,Arataca,CT Arataca,
RS,Aratiba,CT Aratiba,
CE,Aratuba,CT Aratuba,
BA,Aratuípe,CT Aratuípe,
SE,Arauá,CT Arauá,
PR,Araucária,CT Araucária,CT Leste
PR,Araucária,CT Araucária,CT Oeste
MG,Araújos,CT Araújos,
MG,Araxá,CT Araxá,
MG,Arceburgo,CT Arceburgo ,
SP,Arco-Íris,CT Arco-Íris,
MG,Arcos,CT Arcos,
PE,Arcoverde,CT Arcoverde,
MG,Areado,CT Areado,
RJ,Areal,CT Areal,
SP,Arealva,CT Arealva ,
PB,Areia,CT Areia,
RN,Areia Branca,CT Areia Branca,
SE,Areia Branca,CT Areia Branca,
PB,Areia de Baraúnas,CT Areia de Baraúnas,
PB,Areial,CT Areial,
SP,Areias,CT Areias,
SP,Areiópolis,CT Areiópolis,
MT,Arenápolis,CT Arenápolis,
GO,Arenópolis,CT Arenópolis,
RN,Arez,CT Arez,
MG,Argirita,CT Argirita,
MG,Aricanduva,CT Aricanduva,
MG,Arinos,CT Arinos ,
MT,Aripuanã,CT Aripuanã,
RO,Ariquemes,CT Ariquemes I,bairros; setores; vilas; assentamentos; distritos e zona rural que se encontram ao Norte da Avenida Canaã
RO,Ariquemes,CT Ariquemes II,bairros; setores; vilas; assentamentos; distritos e zona rural que se encontram ao Sul da Avenida Canaã
SP,Ariranha,CT Ariranha,
PR,Ariranha dovaí,CT Ariranha do Ivaí,
RJ,Armação dos Búzios,CT Armação dos Búzios,
RS,Armação dos Buzios,CT Armação dos Buzios ,
SC,Armazém,CT Armazém,
CE,Arneiroz,CT Arneiroz,
DF,Arniqueiras,CT Arniqueiras,
PI,Aroazes,CT Aroazes,
PB,Aroeiras,CT Aroeiras ,
PI,Aroeiras dotaim,CT Aroeiras do Itaim,
PI,Arraial,CT Arraial ,
RJ,Arraial do Cabo,CT Arraial do Cabo,
TO,Arraias,CT Arraias,
RS,Arroio do Meio,CT Arroio do Meio,
RS,Arroio do Padre,CT Arroio do Padre ,
