municipio,nome,numero,situacao,estado
PILAR,MARIA DE FATIMA RESENDE ROCHA OITICICA,15,Eleito,al
PILAR,THAIS VIANA DE MENDONÇA CANUTO,12,Não eleito,al
PILAR,ROBERTO DOUGLAS DA SILVA BARROS,43,Não eleito,al
PILAR,ADRIANO MARCELO OMENA COSTA,22,Não eleito,al
PINDOBA,JOSÉ MAURICIO TENÓRIO CAVALCANTE,11,Não eleito,al
PINDOBA,JOSÉ CICERO CARDOSO COSTA,10,Eleito,al
PIRANHAS,TIAGO TORRES FREITAS,15,Eleito,al
PIRANHAS,MARISTELA SENA DIAS,11,Não eleito,al
PORTO CALVO,KLEVISSON KENNEDY DA SILVA SIQUEIRA,11,Não eleito,al
PORTO CALVO,JEFFERSON RODRIGUES DA SILVA,22,Não eleito,al
PORTO CALVO,ERONITA SPOSITO LEAO E LIMA,15,Eleito,al
PORTO DE PEDRAS,LUIZ CARLOS BORGHETTI ROCHA,11,Não eleito,al
PORTO DE PEDRAS,ALLAN DE JESUS SILVA,15,Eleito,al
PORTO DE PEDRAS,BENEDITO FABIO DOS SANTOS,77,Não eleito,al
PORTO REAL DO COLÉGIO,JOSÉ TIAGO DE LIRA,40,Não eleito,al
PORTO REAL DO COLÉGIO,HIGOR JOSÉ SANTOS FREITAS,11,Eleito,al
POÇO DAS TRINCHEIRAS,MARCELO MELO SILVA,12,Não eleito,al
POÇO DAS TRINCHEIRAS,JOSE VALMIRO GOMES DA COSTA,15,Eleito,al
POÇO DAS TRINCHEIRAS,CAIO CÉSAR FERREIRA RODRIGUES,11,Não eleito,al
PÃO DE AÇÚCAR,JORGE SILVA DANTAS,15,Eleito,al
PÃO DE AÇÚCAR,ALDO ALVES ROSA,22,Não eleito,al
PÃO DE AÇÚCAR,CLIUTON SANTOS,13,Não eleito,al
QUEBRANGULO,EMANOEL CARDOSO DE ALBUQUERQUE,15,Não eleito,al
QUEBRANGULO,EDUARDO JOSÉ TENÓRIO HOLANDA DE OLIVEIRA,40,Não eleito,al
QUEBRANGULO,MANOEL COSTA TENÓRIO,45,Eleito,al
RIO LARGO,PEDRO CARLOS DA SILVA NETO,11,Eleito,al
RIO LARGO,SILVANO VIEIRA DOS SANTOS,13,Não eleito,al
RIO LARGO,IVAN ALEXANDRINO PAES,77,Não eleito,al
RIO LARGO,ANNY IZABELLE TORRES MELO LINS DE SOUZA,12,Não eleito,al
RIO LARGO,PEDRO VICTOR DE ARAUJO JUNIOR,15,Não eleito,al
RIO LARGO,ROMILDO ELIAS CALHEIROS JUNIOR,22,Não eleito,al
ROTEIRO,THIAGO HENRIQUE TEIXEIRA CURSINO,22,Não eleito,al
ROTEIRO,MARIA CICERA DOS SANTOS FILHA ALVES,18,Não eleito,al
ROTEIRO,PAULO JOSÉ LEITE TEIXEIRA,15,Eleito,al
SANTA LUZIA DO NORTE,MARIA JOSÉ DOS SANTOS,80,Não eleito,al
SANTA LUZIA DO NORTE,FRANCIS CORREIA BARROS DE ARAÚJO,11,Eleito,al
SANTA LUZIA DO NORTE,WERDLEY THIAGO SILVA AMARAL,15,Não eleito,al
SANTANA DO IPANEMA,JOSE EDSON MAGALHÃES FELIX,11,Não eleito,al
SANTANA DO IPANEMA,ALBÉRIO WANDERLEY DE AQUINO,44,Não eleito,al
SANTANA DO IPANEMA,JOAO EDUARDO BULHOES PORTELA DE MELO,15,Eleito,al
SANTANA DO MUNDAÚ,EDNO LINO DA SILVA,22,Não eleito,al
SANTANA DO MUNDAÚ,ANDRÉ LUIZ GOES CASTRO,15,Eleito,al
NOVA IBIÁ,MARCIO TARANTINE SOUZA SAMPAIO,70,Eleito,ba
NOVA IBIÁ,BRUNO SOUZA DA SILVA,15,Não eleito,ba
NOVA ITARANA,ELMO RICARDO GALVAO DE SOUZA  SILVA,55,Eleito,ba
NOVA ITARANA,EDUARDO ALVES DA SILVA,15,Não eleito,ba
NOVA REDENÇÃO,RODRIGO DA SILVA RIBEIRO,13,Não eleito,ba
NOVA REDENÇÃO,ADEMAR MARTINS DE OLIVEIRA FILHO,55,Eleito,ba
NOVA SOURE,ALAN CAMILO BARRETO REIS,55,Eleito,ba
NOVA SOURE,JOSÉ ARIVALDO FERREIRA SOARES,15,Não eleito,ba
NOVA VIÇOSA,LUCIANA SOUSA MACHADO RODRIGUES,44,Eleito,ba
NOVA VIÇOSA,ROGERIO DE SOUZA BENJAMIM,55,Não eleito,ba
NOVO HORIZONTE,ROGERIO DE OLIVEIRA PRADO,55,Eleito,ba
NOVO HORIZONTE,ADEMAR MENDES DOS SANTOS,44,Não eleito,ba
NOVO TRIUNFO,RONILDO DE OLIVEIRA MATOS,20,Não eleito,ba
NOVO TRIUNFO,MATHEUS BARROS DE SANTANA,11,Eleito,ba
OLINDINA,LUIZ ALBERTO ARAÚJO DANTAS FILHO,55,Eleito,ba
OLINDINA,ADELMO DO NASCIMENTO SOUZA,70,Não eleito,ba
OLIVEIRA DOS BREJINHOS,CLERISTON UAIDE REIS GUEDES PEREIRA,13,Eleito,ba
OLIVEIRA DOS BREJINHOS,SILVANDO BRITO SANTOS,55,Não eleito,ba
OURIÇANGAS,TARCISIO LIMA DE CERQUEIRA,15,Não eleito,ba
OURIÇANGAS,SIMONE DOS SANTOS,70,Não eleito,ba
OURIÇANGAS,RONIVALDO CERQUEIRA DE ARAÚJO,13,Eleito,ba
OUROLÂNDIA,JOSÉ RAIMUNDO ARAUJO DE SOUZA,44,Eleito,ba
OUROLÂNDIA,YHONARA ROCHA DE ALMEIDA FREIRE,13,Não eleito,ba
OUROLÂNDIA,JOSÉ CARLOS RIBEIRO DOS SANTOS,15,Não eleito,ba
PALMAS DE MONTE ALTO,WILSON LIMA NASCIMENTO,15,Não eleito,ba
PALMAS DE MONTE ALTO,FERNANDO NOGUEIRA LARANJEIRA,70,Não eleito,ba
PALMAS DE MONTE ALTO,JOÃO PEDRO ROCHA DE MOURA OLIVEIRA,40,Não eleito,ba
PALMAS DE MONTE ALTO,MARCOS TULIO LARANJEIRA ROCHA,55,Eleito,ba
PALMEIRAS,MARCOS VENÍCIOS SANTOS TELES,55,Não eleito,ba
PALMEIRAS,WILSON JOSE DA ROCHA,70,Eleito,ba
PARAMIRIM,JULIO BERNARDO BRITO VIEIRA BITTENCOURT,55,Não eleito,ba
PARAMIRIM,OSÓRIO DOS ANJOS OLIVEIRA,20,Não eleito,ba
PARAMIRIM,JOÃO RICARDO BRASIL MATOS,70,Eleito,ba
PARATINGA,EUGÊNIO DE MOURA ROCHA,12,Não eleito,ba
PARATINGA,VITOR FERREIRA DE SANTANA,13,Eleito,ba
PARATINGA,MARCELO RODRIGUES DOS SANTOS,70,Não eleito,ba
PARATINGA,MARIVALDO DE OLIVEIRA,22,Não eleito,ba
PARIPIRANGA,GEORGE ROBERTO RIBEIRO NASCIMENTO,15,Não eleito,ba
PARIPIRANGA,TALISSON SANTA ROSA NASCIMENTO,55,Eleito,ba
PAU BRASIL,RODRIGO SILVA MENDES,70,Não eleito,ba
PAU BRASIL,ROBSON VENÂNCIO DO NASCIMENTO,13,Eleito,ba
PAULO AFONSO,ONILDE CAVALCANTE DE ANDRADE CARVALHO,30,Não eleito,ba
PAULO AFONSO,JULIANO MARCIO DE MEDEIROS NOGUEIRA,10,Não eleito,ba
PAULO AFONSO,MARCONI DANIEL MELO ALENCAR,13,Não eleito,ba
PAULO AFONSO,MARIO CESAR BARRETO AZEVEDO,55,Eleito,ba
PAULO AFONSO,MARCONDES FRANCISCO DOS SANTOS,11,Não eleito,ba
PAULO AFONSO,JOSÉ OLIVEIRA MOTA,18,Não eleito,ba
PEDRO ALEXANDRE,PEDRO GOMES FILHO,55,Não eleito,ba
PEDRO ALEXANDRE,YURI CESAR DE ANDRADE MENEZES,11,Eleito,ba
PEDRO ALEXANDRE,LAZARO DE JESUS SANTOS,15,Não eleito,ba
